ID	Index
0	0
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	1
11	1
12	1
13	1
14	2
15	2
16	2
17	2
18	3
19	3
20	3
21	3
22	4
23	4
24	4
25	5
26	5
27	5
28	5
29	6
30	6
31	6
32	6
33	7
34	7
35	7
36	7
37	8
38	8
39	8
40	8
41	9
42	9
43	9
44	9
45	10
46	10
47	10
48	10
49	11
50	11
51	11
52	11
53	12
54	12
55	12
56	12
57	13
58	13
59	13
60	13
61	14
62	14
63	14
64	14
65	15
66	15
67	15
68	16
69	16
70	16
71	16
72	17
73	17
74	17
75	17
76	18
77	18
78	18
79	18
80	19
81	19
82	19
83	19
84	20
85	20
86	20
87	21
88	21
89	21
90	22
91	22
92	22
93	23
94	23
95	23
96	24
97	24
98	24
99	24
100	0
101	0
102	0
103	0
104	0
105	0
106	0
107	0
108	22
109	23
110	1
111	1
112	1
113	1
114	2
115	2
116	2
117	2
118	3
119	3
120	3
121	3
122	4
123	4
124	4
125	5
126	5
127	5
128	5
129	6
130	6
131	6
132	6
133	7
134	7
135	7
136	7
137	8
138	8
139	8
140	8
141	9
142	9
143	9
144	9
145	10
146	10
147	10
148	10
149	11
150	11
151	11
152	11
153	12
154	12
155	12
156	12
157	13
158	13
159	13
160	13
161	14
162	14
163	14
164	14
165	15
166	15
167	15
168	16
169	16
170	16
171	16
172	17
173	17
174	17
175	17
176	18
177	18
178	18
179	18
180	19
181	19
182	19
183	19
184	20
185	20
186	20
187	21
188	21
189	21
190	22
191	22
192	22
193	23
194	23
195	23
196	24
197	24
198	24
199	24
200	0
201	0
202	0
203	0
204	0
205	0
206	4
207	15
208	20
209	21
210	1
211	1
212	1
213	1
214	2
215	2
216	2
217	2
218	3
219	3
220	3
221	3
222	4
223	4
224	4
225	5
226	5
227	5
228	5
229	6
230	6
231	6
232	6
233	7
234	7
235	7
236	7
237	8
238	8
239	8
240	8
241	9
242	9
243	9
244	9
245	10
246	10
247	10
248	10
249	11
250	11
251	11
252	11
253	12
254	12
255	12
256	12
257	13
258	13
259	13
260	13
261	14
262	14
263	14
264	14
265	15
266	15
267	15
268	16
269	16
270	16
271	16
272	17
273	17
274	17
275	17
276	18
277	18
278	18
279	18
280	19
281	19
282	19
283	19
284	20
285	20
286	20
287	21
288	21
289	21
290	22
291	22
292	22
293	23
294	23
295	23
296	24
297	24
298	24
299	24
300	0
301	0
302	0
303	0
304	4
305	15
306	20
307	21
308	22
309	23
310	1
311	1
312	1
313	1
314	2
315	2
316	2
317	2
318	3
319	3
320	3
321	3
322	4
323	4
324	4
325	5
326	5
327	5
328	5
329	6
330	6
331	6
332	6
333	7
334	7
335	7
336	7
337	8
338	8
339	8
340	8
341	9
342	9
343	9
344	9
345	10
346	10
347	10
348	10
349	11
350	11
351	11
352	11
353	12
354	12
355	12
356	12
357	13
358	13
359	13
360	13
361	14
362	14
363	14
364	14
365	15
366	15
367	15
368	16
369	16
370	16
371	16
372	17
373	17
374	17
375	17
376	18
377	18
378	18
379	18
380	19
381	19
382	19
383	19
384	20
385	20
386	20
387	21
388	21
389	21
390	22
391	22
392	22
393	23
394	23
395	23
396	24
397	24
398	24
399	24
